Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
1st,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,6,2,1,1642
6th,RB,WR,WR,WR,WR,WR,QB,WR,TE,1,5,2,1,1639
1st,RB,WR,WR,WR,TE,WR,TE,QB,QB,0,6,3,0,1638
1st,RB,WR,WR,TE,WR,WR,TE,QB,QB,0,6,3,0,1637
1st,RB,WR,WR,WR,QB,WR,TE,QB,TE,0,6,3,0,1637
1st,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,5,3,1,1634
1st,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,7,1,1,1633
1st,RB,WR,TE,TE,WR,RB,RB,QB,QB,0,4,5,0,1632
1st,WR,WR,WR,WR,WR,RB,QB,RB,QB,0,4,2,3,1630
1st,WR,WR,WR,WR,WR,RB,TE,QB,QB,0,6,2,1,1628.57332
1st,WR,WR,WR,RB,TE,RB,QB,RB,QB,0,3,5,1,1628
6th,RB,WR,WR,RB,TE,TE,QB,QB,WR,0,4,5,0,1628
1st,RB,WR,RB,WR,TE,QB,WR,QB,RB,0,3,5,1,1628
6th,RB,WR,WR,WR,QB,WR,RB,WR,TE,1,4,3,1,1628
6th,RB,WR,WR,TE,TE,QB,QB,WR,WR,0,6,3,0,1627
1st,RB,WR,WR,WR,WR,QB,TE,TE,QB,0,6,3,0,1627
4th,RB,RB,RB,QB,QB,WR,TE,WR,WR,0,2,5,2,1626.66998
1st,WR,WR,WR,WR,RB,QB,RB,QB,RB,0,3,3,3,1626
12th,WR,RB,TE,WR,TE,WR,QB,QB,WR,0,4,5,0,1625
1st,WR,WR,WR,RB,TE,RB,QB,TE,QB,0,4,5,0,1625
6th,RB,TE,WR,TE,QB,WR,QB,WR,WR,0,6,3,0,1625
6th,RB,WR,WR,QB,TE,WR,RB,WR,WR,1,4,3,1,1625
1st,RB,WR,WR,TE,RB,RB,TE,QB,QB,0,2,5,2,1625
1st,RB,RB,RB,WR,TE,RB,QB,QB,TE,0,1,8,0,1624.53128
6th,RB,WR,WR,WR,QB,WR,TE,QB,TE,0,6,3,0,1624
6th,RB,WR,WR,WR,TE,WR,RB,QB,WR,1,4,3,1,1623
1st,RB,WR,WR,WR,QB,WR,WR,TE,QB,0,6,2,1,1623
1st,RB,WR,WR,WR,WR,QB,TE,QB,TE,0,6,3,0,1623
6th,RB,RB,RB,QB,TE,WR,QB,WR,TE,0,2,7,0,1622.54762
1st,RB,RB,RB,WR,WR,WR,QB,QB,TE,0,1,7,1,1622.16984
1st,RB,WR,WR,RB,WR,WR,QB,QB,QB,0,3,4,2,1622
1st,RB,WR,WR,WR,RB,QB,RB,QB,TE,0,3,4,2,1622
1st,RB,WR,WR,WR,WR,WR,RB,QB,TE,1,4,3,1,1622
1st,RB,RB,WR,WR,QB,WR,QB,TE,QB,0,3,5,1,1622
1st,RB,WR,WR,WR,WR,QB,QB,RB,RB,0,5,3,1,1622
6th,RB,WR,WR,TE,QB,WR,RB,WR,WR,1,4,3,1,1622
12th,WR,RB,TE,RB,WR,WR,QB,QB,WR,0,4,4,1,1621.81294
9th,RB,WR,WR,QB,WR,WR,WR,WR,WR,1,6,0,2,1621
1st,RB,RB,WR,QB,WR,RB,QB,TE,TE,0,3,6,0,1621
4th,RB,RB,WR,WR,QB,WR,QB,TE,QB,0,3,5,1,1621
12th,WR,RB,WR,QB,WR,TE,RB,QB,TE,0,4,5,0,1621
1st,RB,WR,WR,WR,WR,QB,TE,TE,QB,0,5,3,1,1621
12th,WR,RB,TE,WR,TE,WR,QB,QB,WR,0,5,4,0,1621
1st,WR,RB,WR,WR,QB,WR,QB,TE,RB,0,4,4,1,1620.97302
1st,WR,WR,WR,WR,WR,RB,RB,QB,QB,0,6,2,1,1620.66604
6th,RB,WR,WR,WR,TE,RB,QB,RB,WR,1,3,4,1,1620
1st,RB,WR,WR,TE,WR,QB,WR,TE,QB,0,6,3,0,1620
1st,RB,WR,WR,RB,RB,RB,QB,QB,TE,0,3,5,1,1620
6th,RB,RB,RB,TE,QB,WR,QB,WR,WR,0,1,7,1,1619.90246
12th,WR,WR,TE,RB,QB,WR,WR,QB,RB,1,5,3,0,1619
1st,RB,WR,WR,WR,QB,WR,TE,QB,RB,1,3,4,1,1619
6th,RB,WR,WR,TE,WR,WR,RB,QB,WR,1,4,3,1,1619
4th,RB,WR,WR,TE,QB,WR,RB,WR,WR,1,4,3,1,1619
1st,RB,WR,WR,QB,WR,QB,WR,TE,WR,0,6,2,1,1619
4th,RB,RB,WR,QB,WR,TE,RB,QB,WR,1,2,5,1,1618
1st,RB,WR,WR,WR,WR,TE,QB,RB,QB,0,4,4,1,1618
4th,RB,RB,RB,QB,WR,TE,QB,WR,WR,0,2,6,1,1617.52864
1st,WR,WR,WR,WR,WR,QB,RB,TE,QB,0,6,2,1,1617.45866
4th,WR,RB,WR,QB,QB,TE,RB,TE,WR,0,3,6,0,1617.3738
12th,WR,RB,RB,WR,QB,TE,RB,QB,TE,0,3,6,0,1617.3411
4th,RB,RB,RB,WR,QB,RB,QB,WR,WR,0,1,6,2,1617.09074
1st,RB,WR,WR,WR,QB,TE,WR,QB,TE,0,6,3,0,1617
1st,RB,WR,WR,TE,WR,QB,WR,TE,RB,1,5,3,0,1617
1st,RB,WR,WR,TE,QB,TE,RB,QB,QB,0,4,5,0,1617
1st,RB,WR,WR,WR,TE,QB,QB,TE,WR,0,6,3,0,1617
1st,WR,WR,RB,WR,RB,QB,RB,QB,QB,0,2,5,2,1617
12th,WR,RB,RB,RB,QB,WR,WR,QB,WR,0,2,4,3,1617
12th,WR,RB,RB,RB,RB,WR,QB,QB,WR,0,1,6,2,1616.48242
6th,RB,RB,RB,TE,WR,WR,QB,WR,QB,0,2,6,1,1616.21378
1st,RB,WR,WR,WR,TE,RB,WR,QB,WR,1,4,3,1,1616
12th,RB,RB,WR,WR,TE,TE,QB,QB,WR,0,4,5,0,1616
1st,RB,WR,WR,RB,QB,WR,QB,TE,RB,0,3,5,1,1616
1st,RB,QB,WR,TE,WR,RB,QB,RB,TE,0,2,7,0,1616
1st,RB,WR,RB,QB,WR,WR,WR,RB,QB,0,2,4,3,1616
1st,WR,WR,WR,RB,TE,RB,QB,RB,QB,0,4,4,1,1616
4th,WR,RB,WR,QB,QB,WR,WR,RB,TE,0,5,2,2,1616
9th,RB,WR,TE,TE,WR,QB,WR,QB,WR,0,6,3,0,1616
6th,RB,WR,WR,QB,WR,WR,RB,WR,TE,1,4,3,1,1616
1st,RB,WR,WR,WR,TE,QB,RB,WR,QB,1,3,4,1,1616
6th,RB,RB,WR,WR,TE,TE,QB,QB,WR,0,4,5,0,1616
12th,WR,RB,RB,TE,QB,WR,QB,TE,RB,0,2,7,0,1615.85628
4th,WR,RB,WR,WR,QB,WR,QB,TE,RB,0,4,4,1,1615.76034
12th,WR,RB,TE,WR,QB,WR,QB,TE,RB,0,4,5,0,1615.26092
1st,RB,WR,WR,TE,WR,WR,RB,RB,QB,0,4,4,1,1615
1st,RB,WR,WR,WR,TE,QB,QB,TE,RB,1,3,5,0,1615
1st,RB,WR,WR,RB,WR,RB,WR,QB,QB,0,3,3,3,1615
6th,RB,WR,WR,WR,QB,TE,QB,TE,WR,0,6,3,0,1615
1st,WR,WR,WR,WR,WR,TE,RB,QB,QB,0,6,2,1,1614.3286
1st,RB,WR,WR,WR,QB,TE,QB,TE,WR,0,6,3,0,1614
9th,RB,WR,WR,WR,WR,QB,WR,QB,RB,0,4,3,2,1614
6th,RB,WR,WR,QB,WR,WR,WR,WR,WR,1,6,0,2,1614
1st,WR,WR,RB,WR,RB,QB,QB,RB,TE,0,4,4,1,1614
4th,RB,WR,WR,WR,QB,TE,QB,WR,RB,0,4,3,2,1614
1st,WR,RB,WR,WR,TE,RB,QB,QB,RB,0,3,5,1,1614
9th,RB,WR,WR,QB,WR,QB,WR,RB,RB,0,4,3,2,1614
1st,RB,RB,WR,WR,RB,WR,WR,QB,QB,0,1,5,3,1614
12th,WR,RB,WR,WR,WR,WR,QB,RB,WR,1,3,2,3,1613.72216
1st,RB,RB,RB,TE,WR,QB,QB,QB,WR,0,1,7,1,1613.19548
4th,RB,RB,RB,TE,QB,WR,QB,WR,WR,0,1,7,1,1613.08458
1st,WR,WR,TE,TE,WR,RB,WR,QB,QB,0,5,4,0,1613
9th,RB,WR,TE,QB,WR,WR,TE,QB,WR,0,6,3,0,1613
6th,RB,WR,WR,WR,TE,WR,TE,QB,QB,0,6,3,0,1613
6th,RB,WR,WR,WR,TE,QB,RB,WR,QB,1,3,4,1,1613
12th,WR,RB,RB,WR,WR,QB,RB,QB,TE,0,3,4,2,1613
4th,WR,RB,WR,WR,QB,QB,RB,RB,TE,0,2,5,2,1613
